aligned_name,source,taxonIDClean,taxonomicStatusClean,alternativeTaxonomicStatusClean,acceptedNameUsageID,canonicalName,scientificNameAuthorship,taxonRank,taxonomicStatus,family,subclass,taxonDistribution,ccAttributionIRI
Eucalyptus salubris,APC,https://id.biodiversity.org.au/node/apni/2894706,accepted,NA,https://id.biodiversity.org.au/node/apni/2894706,Eucalyptus salubris,F.Muell.,Species,accepted,Myrtaceae,Magnoliidae,WA,https://id.biodiversity.org.au/node/apni/2894706
Eucalyptus seeana,APC,https://id.biodiversity.org.au/node/apni/2892322,accepted,NA,https://id.biodiversity.org.au/node/apni/2892322,Eucalyptus seeana,Maiden,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/node/apni/2892322
Eucalyptus siderophloia,APC,https://id.biodiversity.org.au/node/apni/2914381,accepted,NA,https://id.biodiversity.org.au/node/apni/2914381,Eucalyptus siderophloia,Benth.,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/node/apni/2914381
Eucalyptus sideroxylon,APC,https://id.biodiversity.org.au/taxon/apni/51440727,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51440727,Eucalyptus sideroxylon,A.Cunn. ex Woolls,Species,accepted,Myrtaceae,Magnoliidae,"SA (doubtfully naturalised), Qld, NSW, Vic",https://id.biodiversity.org.au/taxon/apni/51440727
Eucalyptus sieberi,APC,https://id.biodiversity.org.au/node/apni/2917450,accepted,NA,https://id.biodiversity.org.au/node/apni/2917450,Eucalyptus sieberi,L.A.S.Johnson,Species,accepted,Myrtaceae,Magnoliidae,"NSW, ACT, Vic, Tas",https://id.biodiversity.org.au/node/apni/2917450
Eucalyptus similis,APC,https://id.biodiversity.org.au/node/apni/2890224,accepted,NA,https://id.biodiversity.org.au/node/apni/2890224,Eucalyptus similis,Maiden,Species,accepted,Myrtaceae,Magnoliidae,Qld,https://id.biodiversity.org.au/node/apni/2890224
Eucalyptus simmondsii,APC,https://id.biodiversity.org.au/instance/apni/890695,taxonomic synonym,NA,https://id.biodiversity.org.au/node/apni/2904726,Eucalyptus nitida,Hook.f.,Species,accepted,Myrtaceae,Magnoliidae,Tas,https://id.biodiversity.org.au/node/apni/2904726
Eucalyptus socialis,APC,https://id.biodiversity.org.au/node/apni/2914882,accepted,NA,https://id.biodiversity.org.au/node/apni/2914882,Eucalyptus socialis,F.Muell. ex Miq.,Species,accepted,Myrtaceae,Magnoliidae,"WA, NT, SA, Qld, NSW, Vic",https://id.biodiversity.org.au/node/apni/2914882
Eucalyptus sphaerocarpa,APC,https://id.biodiversity.org.au/node/apni/2919929,accepted,NA,https://id.biodiversity.org.au/node/apni/2919929,Eucalyptus sphaerocarpa,L.A.S.Johnson & Blaxell,Species,accepted,Myrtaceae,Magnoliidae,Qld,https://id.biodiversity.org.au/node/apni/2919929
Eucalyptus sporadica,APC,https://id.biodiversity.org.au/node/apni/2902638,accepted,NA,https://id.biodiversity.org.au/node/apni/2902638,Eucalyptus sporadica,Brooker & Hopper,Species,accepted,Myrtaceae,Magnoliidae,WA,https://id.biodiversity.org.au/node/apni/2902638
Eucalyptus squamosa,APC,https://id.biodiversity.org.au/node/apni/2900640,accepted,NA,https://id.biodiversity.org.au/node/apni/2900640,Eucalyptus squamosa,H.Deane & Maiden,Species,accepted,Myrtaceae,Magnoliidae,NSW,https://id.biodiversity.org.au/node/apni/2900640
Eucalyptus stellulata,APC,https://id.biodiversity.org.au/node/apni/2919961,accepted,NA,https://id.biodiversity.org.au/node/apni/2919961,Eucalyptus stellulata,Sieber ex DC.,Species,accepted,Myrtaceae,Magnoliidae,"NSW, ACT, Vic",https://id.biodiversity.org.au/node/apni/2919961
Eucalyptus striaticalyx,APC,https://id.biodiversity.org.au/node/apni/2901553,accepted,pro parte misapplied,https://id.biodiversity.org.au/node/apni/2901553,Eucalyptus striaticalyx,W.Fitzg.,Species,accepted,Myrtaceae,Magnoliidae,WA,https://id.biodiversity.org.au/node/apni/2901553
Eucalyptus stricta,APC,https://id.biodiversity.org.au/node/apni/5340973,accepted,misapplied,https://id.biodiversity.org.au/node/apni/5340973,Eucalyptus stricta,Sieber ex Spreng.,Species,accepted,Myrtaceae,Magnoliidae,NSW,https://id.biodiversity.org.au/node/apni/5340973
Eucalyptus tectifica,APC,https://id.biodiversity.org.au/taxon/apni/51300109,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51300109,Eucalyptus tectifica,F.Muell.,Species,accepted,Myrtaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/taxon/apni/51300109
Eucalyptus tenuipes,APC,https://id.biodiversity.org.au/node/apni/2889641,accepted,NA,https://id.biodiversity.org.au/node/apni/2889641,Eucalyptus tenuipes,(Maiden & Blakely) Blakely & C.T.White,Species,accepted,Myrtaceae,Magnoliidae,Qld,https://id.biodiversity.org.au/node/apni/2889641
Eucalyptus tenuiramis,APC,https://id.biodiversity.org.au/node/apni/2894971,accepted,NA,https://id.biodiversity.org.au/node/apni/2894971,Eucalyptus tenuiramis,Miq.,Species,accepted,Myrtaceae,Magnoliidae,Tas,https://id.biodiversity.org.au/node/apni/2894971
Eucalyptus tereticornis,APC,https://id.biodiversity.org.au/taxon/apni/51440747,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51440747,Eucalyptus tereticornis,Sm.,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW, Vic",https://id.biodiversity.org.au/taxon/apni/51440747
Eucalyptus terminalis,APC,https://id.biodiversity.org.au/instance/apni/7549831,nomenclatural synonym,NA,https://id.biodiversity.org.au/node/apni/7549846,Corymbia terminalis,(F.Muell.) K.D.Hill & L.A.S.Johnson,Species,accepted,Myrtaceae,Magnoliidae,"NT, SA, Qld, NSW",https://id.biodiversity.org.au/node/apni/7549846
Eucalyptus tessellaris,APC,https://id.biodiversity.org.au/instance/apni/852753,nomenclatural synonym,NA,https://id.biodiversity.org.au/node/apni/2918195,Corymbia tessellaris,(F.Muell.) K.D.Hill & L.A.S.Johnson,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/node/apni/2918195
Eucalyptus tetraptera,APC,https://id.biodiversity.org.au/node/apni/2901991,accepted,NA,https://id.biodiversity.org.au/node/apni/2901991,Eucalyptus tetraptera,Turcz.,Species,accepted,Myrtaceae,Magnoliidae,WA,https://id.biodiversity.org.au/node/apni/2901991
Eucalyptus tetrodonta,APC,https://id.biodiversity.org.au/node/apni/2905964,accepted,NA,https://id.biodiversity.org.au/node/apni/2905964,Eucalyptus tetrodonta,F.Muell.,Species,accepted,Myrtaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/node/apni/2905964
