checked,original_name,aligned_name,source,canonicalName,canonicalName_subbed,canonicalName_to_species,family,known,scientificNameAuthorship,subclass,taxonDistribution,taxonomicStatus,taxonRank
TRUE,Eucalyptus houseana,Eucalyptus houseana,APC list (accepted),Eucalyptus houseana,Eucalyptus houseana,Eucalyptus houseana,Myrtaceae,TRUE,W.Fitzg. ex Maiden,Magnoliidae,WA,accepted,Species
TRUE,Eucalyptus howittiana,Eucalyptus howittiana,APC list (accepted),Eucalyptus howittiana,Eucalyptus howittiana,Eucalyptus howittiana,Myrtaceae,TRUE,F.Muell.,Magnoliidae,Qld,accepted,Species
TRUE,Eucalyptus incrassata,Eucalyptus incrassata,APC list (accepted),Eucalyptus incrassata,Eucalyptus incrassata,Eucalyptus incrassata,Myrtaceae,TRUE,Labill.,Magnoliidae,"WA, SA, NSW, Vic",accepted,Species
TRUE,Eucalyptus intertexta,Eucalyptus intertexta,APC list (accepted),Eucalyptus intertexta,Eucalyptus intertexta,Eucalyptus intertexta,Myrtaceae,TRUE,R.T.Baker,Magnoliidae,"WA, NT, SA, Qld, NSW",accepted,Species
TRUE,Eucalyptus Intertexta,Eucalyptus intertexta,APC list (accepted),Eucalyptus intertexta,Eucalyptus intertexta,Eucalyptus intertexta,Myrtaceae,TRUE,R.T.Baker,Magnoliidae,"WA, NT, SA, Qld, NSW",accepted,Species
TRUE,Eucalyptus jacksonii,Eucalyptus jacksonii,APC list (accepted),Eucalyptus jacksonii,Eucalyptus jacksonii,Eucalyptus jacksonii,Myrtaceae,TRUE,Maiden,Magnoliidae,WA,accepted,Species
TRUE,Eucalyptus jensenii,Eucalyptus jensenii,APC list (accepted),Eucalyptus jensenii,Eucalyptus jensenii,Eucalyptus jensenii,Myrtaceae,TRUE,Maiden,Magnoliidae,"WA, NT",accepted,Species
TRUE,Eucalyptus jutsonii,Eucalyptus jutsonii,APC list (accepted),Eucalyptus jutsonii,Eucalyptus jutsonii,Eucalyptus jutsonii,Myrtaceae,TRUE,Maiden,Magnoliidae,WA,accepted,Species
TRUE,Eucalyptus kitsoniana,Eucalyptus kitsoniana,APC list (accepted),Eucalyptus kitsoniana,Eucalyptus kitsoniana,Eucalyptus kitsoniana,Myrtaceae,TRUE,Maiden,Magnoliidae,Vic,accepted,Species
TRUE,Eucalyptus largiflorens,Eucalyptus largiflorens,APC list (accepted),Eucalyptus largiflorens,Eucalyptus largiflorens,Eucalyptus largiflorens,Myrtaceae,TRUE,F.Muell.,Magnoliidae,"SA, Qld, NSW, Vic",accepted,Species
TRUE,Eucalyptus lehmannii,Eucalyptus lehmannii,APC list (accepted),Eucalyptus lehmannii,Eucalyptus lehmannii,Eucalyptus lehmannii,Myrtaceae,TRUE,(Schauer) Benth.,Magnoliidae,WA,accepted,Species
TRUE,Eucalyptus leptocalyx,Eucalyptus leptocalyx,APC list (accepted),Eucalyptus leptocalyx,Eucalyptus leptocalyx,Eucalyptus leptocalyx,Myrtaceae,TRUE,Blakely,Magnoliidae,WA,accepted,Species
TRUE,Eucalyptus leptophleba,Eucalyptus leptophleba,APC list (accepted),Eucalyptus leptophleba,Eucalyptus leptophleba,Eucalyptus leptophleba,Myrtaceae,TRUE,F.Muell.,Magnoliidae,Qld,accepted,Species
TRUE,Eucalyptus leptopoda,Eucalyptus leptopoda,APC list (accepted),Eucalyptus leptopoda,Eucalyptus leptopoda,Eucalyptus leptopoda,Myrtaceae,TRUE,Benth.,Magnoliidae,"WA, SA",accepted,Species
TRUE,Eucalyptus lesouefii,Eucalyptus lesouefii,APC list (accepted),Eucalyptus lesouefii,Eucalyptus lesouefii,Eucalyptus lesouefii,Myrtaceae,TRUE,Maiden,Magnoliidae,WA,accepted,Species
TRUE,Eucalyptus lesouefi,Eucalyptus lesouefii,APC list (accepted),Eucalyptus lesouefii,Eucalyptus lesouefii,Eucalyptus lesouefii,Myrtaceae,TRUE,Maiden,Magnoliidae,WA,accepted,Species
TRUE,Eucalyptus leucoxylon,Eucalyptus leucoxylon,APC list (accepted),Eucalyptus leucoxylon,Eucalyptus leucoxylon,Eucalyptus leucoxylon,Myrtaceae,TRUE,F.Muell.,Magnoliidae,"SA, NSW, Vic (native and doubtfully naturalised)",accepted,Species
TRUE,Eucalyptus longifolia,Eucalyptus longifolia,APC list (accepted),Eucalyptus longifolia,Eucalyptus longifolia,Eucalyptus longifolia,Myrtaceae,TRUE,Link,Magnoliidae,NSW,accepted,Species
TRUE,Eucalyptus loxophleba,Eucalyptus loxophleba,APC list (accepted),Eucalyptus loxophleba,Eucalyptus loxophleba,Eucalyptus loxophleba,Myrtaceae,TRUE,Benth.,Magnoliidae,WA,accepted,Species
TRUE,Eucalyptus luehmanniana,Eucalyptus luehmanniana,APC list (accepted),Eucalyptus luehmanniana,Eucalyptus luehmanniana,Eucalyptus luehmanniana,Myrtaceae,TRUE,F.Muell.,Magnoliidae,NSW,accepted,Species
TRUE,Eucalyptus macarthuri,Eucalyptus macarthuri,APC list (known names),Eucalyptus macarthurii,Eucalyptus macarthurii,Eucalyptus macarthurii,Myrtaceae,TRUE,H.Deane & Maiden,Magnoliidae,"NSW, Vic (naturalised)",accepted,Species
TRUE,Eucalyptus macrandra,Eucalyptus macrandra,APC list (accepted),Eucalyptus macrandra,Eucalyptus macrandra,Eucalyptus macrandra,Myrtaceae,TRUE,F.Muell. ex Benth.,Magnoliidae,WA,accepted,Species
TRUE,Eucalyptus macrorhyncha,Eucalyptus macrorhyncha,APC list (accepted),Eucalyptus macrorhyncha,Eucalyptus macrorhyncha,Eucalyptus macrorhyncha,Myrtaceae,TRUE,F.Muell. ex Benth.,Magnoliidae,"SA, NSW, ACT, Vic",accepted,Species
TRUE,Eucalyptus major,Eucalyptus major,APC list (accepted),Eucalyptus major,Eucalyptus major,Eucalyptus major,Myrtaceae,TRUE,(Maiden) Blakely,Magnoliidae,"Qld, NSW",accepted,Species
