dataset_id,taxon_name,observation_id,trait_name,value,unit,entity_type,value_type,basis_of_value,replicates,basis_of_record,life_stage,population_id,individual_id,temporal_id,source_id,location_id,entity_context_id,plot_id,treatment_id,collection_date,measurement_remarks,method_id,original_name,fire intensity,replicate observations,sapwood sampling method,fire_intensity,fire_severity,fire_season,aligned_name,source
Cheal_2017,Acacia implexa,0028,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia implexa,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Acacia longifolia,0032,fire_response,fire_killed,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia longifolia s.l.,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Acacia longifolia,0032,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia longifolia s.l.,NA,NA,NA,NA,NA,NA,Acacia longifolia,APC list (accepted)
Cheal_2017,Acacia mearnsii,0035,fire_response,fire_killed,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia mearnsii,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Acacia mearnsii,0035,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia mearnsii,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Acacia melanoxylon,0036,fire_response,resprouts,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia melanoxylon,NA,NA,NA,NA,NA,NA,Acacia melanoxylon,APC list (accepted)
Cheal_2017,Acacia melanoxylon,0036,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia melanoxylon,NA,NA,NA,NA,NA,NA,Acacia melanoxylon,APC list (accepted)
Cheal_2017,Acacia montana,0038,fire_response,fire_killed,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia montana,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Acacia obliquinervia,0041,fire_response,fire_killed,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia obliquinervia,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Acacia obliquinervia,0041,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia obliquinervia,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Acacia podalyriifolia,0047,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia podalyriifolia,NA,NA,NA,NA,NA,NA,Acacia podalyriifolia,APC list (accepted)
Cheal_2017,Acacia pycnantha,0049,fire_response,fire_killed,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia pycnantha,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Acacia pycnantha,0049,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia pycnantha,NA,NA,NA,NA,NA,NA,Acacia pycnantha,APC list (accepted)
Cheal_2017,Acacia ulicifolia,0063,fire_response,fire_killed,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia ulicifolia,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Acacia ulicifolia,0063,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Acacia ulicifolia,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Allocasuarina luehmannii,0105,fire_response,resprouts,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Allocasuarina luehmannii,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Allocasuarina luehmannii,0105,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Allocasuarina luehmannii,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Allocasuarina muelleriana,0109,fire_response,fire_killed,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Allocasuarina muelleriana,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Allocasuarina muelleriana,0109,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Allocasuarina muelleriana,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Allocasuarina verticillata,0113,fire_response,resprouts,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Allocasuarina verticillata,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Allocasuarina verticillata,0113,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Allocasuarina verticillata,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Amyema miquelii,0122,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Amyema miquelii,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Amyema miraculosa,0123,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Amyema miraculosa,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Amyema pendula,0126,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Amyema pendula,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Amyema preissii,0127,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Amyema preissii,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Amyema quandang,0128,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Amyema quandang,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Banksia marginata,0221,fire_response,resprouts,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Banksia marginata,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Banksia marginata,0221,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Banksia marginata,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Banksia serrata,0224,fire_response,resprouts,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Banksia serrata,NA,NA,NA,NA,NA,NA,Banksia serrata,APC list (accepted)
Cheal_2017,Banksia serrata,0224,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Banksia serrata,NA,NA,NA,NA,NA,NA,Banksia serrata,APC list (accepted)
Cheal_2017,Banksia serrata,0224,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Banksia serrata,NA,NA,NA,NA,NA,NA,Banksia serrata,APC list (accepted)
Cheal_2017,Brachychiton populneus,0265,fire_response,resprouts,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Brachychiton populneus,NA,NA,NA,NA,NA,NA,Brachychiton populneus,APC list (accepted)
Cheal_2017,Callistemon pallidus,0401,fire_response,fire_killed,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Callistemon pallidus,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Callistemon pallidus,0401,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Callistemon pallidus,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Eucalyptus albens,0749,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Eucalyptus albens,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Eucalyptus baxteri,0751,fire_response,resprouts,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Eucalyptus baxteri,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Eucalyptus baxteri,0751,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Eucalyptus baxteri,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Eucalyptus blakelyi,0753,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Eucalyptus blakelyi,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Eucalyptus bridgesiana,0754,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Eucalyptus bridgesiana,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Eucalyptus calycogona,0757,fire_response,resprouts,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Eucalyptus calycogona,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Eucalyptus calycogona,0757,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Eucalyptus calycogona,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Eucalyptus camaldulensis,0758,fire_response,resprouts,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Eucalyptus camaldulensis,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Eucalyptus camaldulensis,0758,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Eucalyptus camaldulensis,NA,NA,NA,NA,NA,NA,Eucalyptus camaldulensis,APC list (accepted)
Cheal_2017,Eucalyptus incrassata,0759,fire_response,resprouts,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Eucalyptus costata subsp. murrayana,NA,NA,NA,NA,NA,NA,NA,NA
Cheal_2017,Eucalyptus incrassata,0759,post_fire_recruitment,post_fire_recruitment,NA,species,mode,expert_score,NA,"literature, field",adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2017,NA,NA,Eucalyptus costata subsp. murrayana,NA,NA,NA,NA,NA,NA,NA,NA
