aligned_name,source,taxonIDClean,taxonomicStatusClean,alternativeTaxonomicStatusClean,acceptedNameUsageID,canonicalName,scientificNameAuthorship,taxonRank,taxonomicStatus,family,subclass,taxonDistribution,ccAttributionIRI
Gastrolobium bilobum,APC,https://id.biodiversity.org.au/node/apni/2894665,accepted,NA,https://id.biodiversity.org.au/node/apni/2894665,Gastrolobium bilobum,R.Br.,Species,accepted,Fabaceae,Magnoliidae,WA,https://id.biodiversity.org.au/tree/51354547/51225996
Geijera parviflora,APC,https://id.biodiversity.org.au/node/apni/2919791,accepted,NA,https://id.biodiversity.org.au/node/apni/2919791,Geijera parviflora,Lindl.,Species,accepted,Rutaceae,Magnoliidae,"SA, Qld, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51221251
Heritiera littoralis,APC,https://id.biodiversity.org.au/node/apni/2907732,accepted,NA,https://id.biodiversity.org.au/node/apni/2907732,Heritiera littoralis,Aiton,Species,accepted,Malvaceae,Magnoliidae,"ChI, Qld",https://id.biodiversity.org.au/tree/51354547/51309801
Hibiscus tiliaceus,APC,https://id.biodiversity.org.au/taxon/apni/51288506,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51288506,Hibiscus tiliaceus,L.,Species,accepted,Malvaceae,Magnoliidae,"WA, CoI, ChI, NT, Qld, NSW, LHI, NI",https://id.biodiversity.org.au/tree/51354547/51288505
Hymenosporum flavum,APC,https://id.biodiversity.org.au/node/apni/2912289,accepted,NA,https://id.biodiversity.org.au/node/apni/2912289,Hymenosporum flavum,(Hook.) F.Muell.,Species,accepted,Pittosporaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51242552
Jacksonia scoparia,APC,https://id.biodiversity.org.au/node/apni/2917560,accepted,taxonomic synonym,https://id.biodiversity.org.au/node/apni/2917560,Jacksonia scoparia,R.Br.,Species,accepted,Fabaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51226217
Kunzea montana,APC,https://id.biodiversity.org.au/node/apni/2920830,accepted,NA,https://id.biodiversity.org.au/node/apni/2920830,Kunzea montana,(Diels) Domin,Species,accepted,Myrtaceae,Magnoliidae,WA,https://id.biodiversity.org.au/tree/51354547/51234024
Lantana camara,APC,https://id.biodiversity.org.au/node/apni/8008245,accepted,NA,https://id.biodiversity.org.au/node/apni/8008245,Lantana camara,L.,Species,accepted,Verbenaceae,Magnoliidae,"WA (naturalised), NT (naturalised), SA (naturalised), Qld (naturalised), NSW (naturalised), Vic (doubtfully naturalised)",https://id.biodiversity.org.au/tree/51354547/51240392
Leptospermum,APC,https://id.biodiversity.org.au/node/apni/8499083,accepted,NA,https://id.biodiversity.org.au/node/apni/8499083,Leptospermum,J.R.Forst. & G.Forst.,Genus,accepted,Myrtaceae,Magnoliidae,"WA (native and naturalised), NT, SA (native and naturalised), Qld (native and naturalised), NSW, LHI, ACT, Vic (native and naturalised), Tas (native and naturalised)",https://id.biodiversity.org.au/tree/51354547/51342282
Leptospermum laevigatum,APC,https://id.biodiversity.org.au/node/apni/2905839,accepted,NA,https://id.biodiversity.org.au/node/apni/2905839,Leptospermum laevigatum,(Gaertn.) F.Muell.,Species,accepted,Myrtaceae,Magnoliidae,"WA (naturalised), SA (naturalised), Qld (naturalised), NSW, Vic (native and naturalised), Tas (native and naturalised)",https://id.biodiversity.org.au/tree/51354547/51233960
Leptospermum lanigerum,APC,https://id.biodiversity.org.au/node/apni/2910654,accepted,NA,https://id.biodiversity.org.au/node/apni/2910654,Leptospermum lanigerum,(Sol. ex Aiton) Sm.,Species,accepted,Myrtaceae,Magnoliidae,"SA, NSW, ACT, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51266300
Leptospermum trinervium,APC,https://id.biodiversity.org.au/node/apni/2908252,accepted,NA,https://id.biodiversity.org.au/node/apni/2908252,Leptospermum trinervium,(Sm.) Joy Thomps.,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW, ACT, Vic",https://id.biodiversity.org.au/tree/51354547/51233950
Lophostemon,APC,https://id.biodiversity.org.au/node/apni/2888397,accepted,NA,https://id.biodiversity.org.au/node/apni/2888397,Lophostemon,Schott,Genus,accepted,Myrtaceae,Magnoliidae,"WA, NT, Qld, NSW (native and naturalised)",https://id.biodiversity.org.au/tree/51354547/51351784
Lophostemon confertus,APC,https://id.biodiversity.org.au/node/apni/2908951,accepted,NA,https://id.biodiversity.org.au/node/apni/2908951,Lophostemon confertus,(R.Br.) Peter G.Wilson & J.T.Waterh.,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW (native and naturalised)",https://id.biodiversity.org.au/tree/51354547/51230564
Lophostemon suaveolens,APC,https://id.biodiversity.org.au/node/apni/2889131,accepted,NA,https://id.biodiversity.org.au/node/apni/2889131,Lophostemon suaveolens,(Sol. ex Gaertn.) Peter G.Wilson & J.T.Waterh.,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51230565
