taxon_name,taxon_name_original,taxname_source,entity_type_tax,taxon_family,life_stage_generic,life_stage_taxon_specific,caste,sex,trait_name,entity_type,value_type,unit_numeric,value,replicates,measurement_remarks,method_number,observation_number,methods,site_name,site_latitude,site_longitude,site_date_of_visit,site_description,site_fire_impact,collection_date,associated_plant_taxa,plant_relation_description,associated_fauna_taxa,associated_fauna_taxa_synonyms,fauna_relation_description,taxname_issues_description,context,source_key,source_doi,source_citation,source_type,secondary_citation
Glycaspis (Glycaspis) repentina,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, form round lerps, sap-sucker",NA,NA,NA,WA,NA,NA,NA,NA,NA,NA,Eucalyptus transcontinentalis,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1964). Observations on some Australian forest insects. 18. Four new species of Glycaspis (Homoptera: Psyllidae) from Queensland. Proceedings of the Linnean Society of New South Wales, 89, 163-166; Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1978). Further information on Glycaspis species (Homoptera: Psyllidae) associated with Eucalyptus camaldulensis, and on other Glycaspis species. Journal of the Australian Entomological Society, 17, 257-260; Morgan, F. D. (1984). Psylloidea of South Australia. Adelaide, South Australia: Government Printer 136 pp."
Schedotrioza distorta,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,NA,NA,NA,NA,"Daw Park, Adelaide, SA",NA,NA,13/03/1983,NA,NA,NA,Eucalyptus torquata,host plant species,NA,NA,NA,NA,NA,Taylor_1990,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900724",article,NA
Glycaspis (Glycaspis) aurosala,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, form rectangular lerps, sap-sucker",NA,NA,NA,QLD,NA,NA,NA,NA,NA,NA,Eucalyptus thozetiana,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1984). Two new species of Glycaspis (Homoptera: Psylloidea) from tropical Queensland, with notes on the genus. Proceedings of the Linnean Society of New South Wales, 107, 475-478; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24."
Anoeconeossa aquilonia,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva live under deserted lerps of other psyllid species, sap-sucker",NA,NA,NA,"NT, QLD, WA",NA,NA,NA,NA,NA,NA,Eucalyptus tetrodonta,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1987). Revision of Eucalyptolyma Froggatt (Homoptera: Psylloidea) with two new genera of Australian psyllids. Journal of the Australian Entomological Society, 26, 97-127."
Cardiaspina tetrodontae,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, sap-sucker",NA,NA,NA,"NT, QLD, WA",NA,NA,NA,NA,NA,NA,Eucalyptus tetrodonta,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1989). Three new species of Cardiaspina Crawford (Homoptera: Psylloidea) from Australian eucalypts. Journal of the Australian Entomological Society, 28, 45-52."
Glycaspis (Glycaspis) lucrosa,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,"NT, QLD, WA",NA,NA,NA,NA,NA,NA,Eucalyptus tetrodonta,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24."
Glycaspis (Glycaspis) felicitaris,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,WA,NA,NA,NA,NA,NA,NA,Eucalyptus tetraptera,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24."
Cardiaspina tetragonae,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, sap-sucker",NA,NA,NA,WA,NA,NA,NA,NA,NA,NA,"Eucalyptus tetragona, Eucalyptus gamophylla",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1989). Three new species of Cardiaspina Crawford (Homoptera: Psylloidea) from Australian eucalypts. Journal of the Australian Entomological Society, 28, 45-52."
Platyobria capitata,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,sap-sucker; larvae unknown,NA,NA,NA,WA,NA,NA,NA,NA,NA,NA,"Eucalyptus tetragona, Eucalyptus gamophylla",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1987). Platyobria, a new aphalarid genus (Homoptera: Psylloidea) from Australia. Journal of the Australian Entomological Society, 26, 253-264."
Anoeconeossa tetragonae,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,sap-sucker; larvae unknown,NA,NA,NA,WA,NA,NA,NA,NA,NA,NA,Eucalyptus tetragona,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1987). Revision of Eucalyptolyma Froggatt (Homoptera: Psylloidea) with two new genera of Australian psyllids. Journal of the Australian Entomological Society, 26, 97-127."
Anoeconeossa tetragonae,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus tetragona,host plant species,NA,NA,NA,NA,NA,Taylor_1987a,doi: 10.1111/j.1440-6055.1987.tb00270.x,"Taylor, K. L. (1987). Revision of Eucalyptolyma Froggatt (Homoptera: Psylloidea) with two new genera of Australian psyllids. Australian Journal of Entomology, 26(2), 97–127. doi: 10.1111/j.1440-6055.1987.tb00270.x",article,NA
