taxon_name,taxon_name_original,taxname_source,entity_type_tax,taxon_family,life_stage_generic,life_stage_taxon_specific,caste,sex,trait_name,entity_type,value_type,unit_numeric,value,replicates,measurement_remarks,method_number,observation_number,methods,site_name,site_latitude,site_longitude,site_date_of_visit,site_description,site_fire_impact,collection_date,associated_plant_taxa,plant_relation_description,associated_fauna_taxa,associated_fauna_taxa_synonyms,fauna_relation_description,taxname_issues_description,context,source_key,source_doi,source_citation,source_type,secondary_citation
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Silvan, VIC",NA,NA,28/06/2001,NA,NA,NA,Zyzygium sp.,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Atmetocranium myersi,NA,AFD,species,Calophyidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva twig-gall inducer, sap-sucker",NA,NA,NA,"Mt Lewis and Windsor Tableland, QLD; Extralimital, New Zealand",NA,NA,NA,NA,NA,NA,Weinmannia racemosa,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Ferris, G. F. & Klyver, F. D. (1932). Report upon a collection of Chermidae (Homoptera) from New Zealand. Transactions and Proceedings of the New Zealand Institute, 63, 34-61; Tuthill, L. D. (1952). On the Psyllidae of New Zealand (Homoptera). Pacific Science, 6, 83-125."
Trioza eugeniae,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waterhousea sp.,host plant species,NA,NA,NA,NA,NA,Taylor_2013,doi:10.1111/j.1440-6055.2012.00872.x,"Taylor, G. S., Jennings, J. T., Purcell, M. F., & Austin, A. D. (2013). Three new Australian species of Trioza Foerster (Hemiptera: Triozidae) with a remarkable adaptation to oviposition on articulate branchlets of Allocasuarina (Casuarinaceae): New species of Trioza from Allocasuarina. Australian Journal of Entomology, 52(1), 42–52. doi:10.1111/j.1440-6055.2012.00872.x",article,NA
Trioza melaleucae,NA,AFD,species,Triozidae,adult,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,New South Wales,NA,NA,NA,NA,NA,NA,Waterhousea floribunda,host the species after tea tree was harvested; considered an overwintering plant for T. melaleuca,NA,NA,NA,NA,NA,Martoni_2021,doi: 10.1371/journal.pone.0257031,"Martoni, F., & Blacket, M. J. (2021). Description of an Australian endemic species of Trioza (Hemiptera: Triozidae) pest of the endemic tea tree, Melaleuca alternifolia (Myrtaceae). PLOS ONE, 16(9), e0257031. doi: 10.1371/journal.pone.0257031",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,adult,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Waterhousea floribunda,host plant species; 2 generations completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,juvenile,eggs and nymphs,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Waterhousea floribunda,host plant species; 2 generations completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Paurocephala,NA,AFD,genus,Psyllidae,NA,NA,NA,NA,ecological_dependency,genus,NA,NA,specialist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ulmaceae,host plant family,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,NA
NA,Paurocephala sp.,NA,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva free-living, sap-sucker",NA,NA,NA,"Melville Is., NT",NA,NA,NA,NA,NA,NA,Trema tomentosa,host plant species,NA,NA,NA,"Undescribed taxon_name_original specimen deposited at the Northern Territory Economic Insect Reference Collection, no collection number provided.",NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,NA
NA,Trisetipsylla sp.,NA,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva free-living, sap-sucker",NA,NA,NA,"NSW, Upper Allyn River",NA,NA,NA,NA,NA,NA,Toona australis,host plant species,NA,NA,NA,"Undescribed taxon_name_original specimen deposited at the Australian National Insect Collection, no collection number provided.",NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,NA
Trisetipsylla,NA,AFD,genus,Psyllidae,NA,NA,NA,NA,ecological_dependency,genus,NA,NA,specialist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Toona,host plant genus,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,NA
Diclidophlebia dahli,NA,AFD,species,Liviidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva leaf deformer, sap-sucker",NA,NA,NA,NT,NA,NA,NA,NA,NA,NA,Thespesia populnea,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Rübsaamen, E. H. (1905). Beiträge zur kenntnis Aussereuropäischer Zooceciden. Marcellia (Rivista Internazionale di Cecidologia), 4, 5-25; Uichanco, L. B. (1921). New records and species of Psyllidae from the Philippine Islands, with descriptions of some preadult stages and habits. Philippine Journal of Science, 18, 259-288; Crawford, D. L. (1925). Notes on Psyllidae. Philippine Journal of Science, 28, 39-42; Burckhardt, D. & Mifsud, D. (2003). Jumping plant-lice of the Paurocephalinae (Insecta, Hemiptera, Psylloidea): systematics and phylogeny. Contributions to Natural History, Bern, 2, 3-34."
Trioza eugeniae,NA,AFD,species,Triozidae,adult,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,"adults fed, oviposition, infested leaves shed at instars 3 to 5. Nymphs in pit galls in the field.",NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Syzygium wilsonii ssp. wilsonii,not host plant species; <1 generation completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,juvenile,"oviposition, instars 3 to 5",NA,NA,ecological_dependency,species,NA,NA,specialist,NA,"adults fed, oviposition, infested leaves shed at instars 3 to 5. Nymphs in pit galls in the field.",NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Syzygium wilsonii ssp. wilsonii,not host plant species; <1 generation completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Baulkham Hills, Woodlands Street, NSW",-33.625207,151.031719,9/01/2011,NA,NA,NA,Syzygium sp.,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Cumberland State Forest, West Pennant Hills, NSW",-33.744576,151.038235,12/01/2011,NA,NA,NA,Syzygium sp.,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,Queensland,NA,NA,NA,NA,NA,NA,Syzygium smithii,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Adelaide, SA",-34.900917,138.607167,NA,NA,NA,NA,Syzygium smithii,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,"Termeil, NSW",NA,NA,1899-09-20,NA,NA,NA,Syzygium smithii,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,"Eastern and southern Australia (NSW, SA, VIC)",NA,NA,NA,NA,NA,NA,Syzygium paniculatum,host plant species,NA,NA,NA,NA,NA,Taylor_2013,doi:10.1111/j.1440-6055.2012.00872.x,"Taylor, G. S., Jennings, J. T., Purcell, M. F., & Austin, A. D. (2013). Three new Australian species of Trioza Foerster (Hemiptera: Triozidae) with a remarkable adaptation to oviposition on articulate branchlets of Allocasuarina (Casuarinaceae): New species of Trioza from Allocasuarina. Australian Journal of Entomology, 52(1), 42–52. doi:10.1111/j.1440-6055.2012.00872.x",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Adelaide, SA",-34.936033,138.5965,NA,NA,NA,NA,Syzygium paniculatum,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Orange, NSW",-33.322056,149.087583,NA,NA,NA,NA,Syzygium paniculatum,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Girrahween Park, Earlwood, NSW",-33.5573,151.0767,25/09/2003,NA,NA,NA,Syzygium paniculatum,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Adelaide, Botanic Gardens, SA",NA,NA,31/10/1974,NA,NA,NA,Syzygium paniculatum,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Waite Agric. Res. Inst. Arboretum, Adelaide, SA",NA,NA,14/10/1987,NA,NA,NA,Syzygium paniculatum,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Urrbrae, Waite Campus, SA",NA,NA,17/11/2006,NA,NA,NA,Syzygium paniculatum,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Adelaide, Veale Gardens, SA",-34.936033,138.5965,10/04/2017,NA,NA,NA,Syzygium paniculatum,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Kalorama, VIC",NA,NA,26/04/2005,NA,NA,NA,Syzygium paniculatum,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Syzygium paniculatum,host plant species; 2 generations completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,adult,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Syzygium oleosum,host plant species; 2 generations completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,juvenile,eggs and nymphs,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Syzygium oleosum,host plant species; 2 generations completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,adult,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Syzygium moorei,host plant species; 2 generations completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,juvenile,eggs and nymphs,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Syzygium moorei,host plant species; 2 generations completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,adult,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,"adults fed, oviposition, most infested leaves shed at instars 2 and 3. No nymphs in pit galls in the field.",NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Syzygium luehmannii,not host plant species; 1 generation completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,juvenile,"oviposition, instars 2 and 3",NA,NA,ecological_dependency,species,NA,NA,specialist,NA,"adults fed, oviposition, most infested leaves shed at instars 2 and 3. No nymphs in pit galls in the field.",NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Syzygium luehmannii,not host plant species; 1 generation completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,adult,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,"adults fed, no oviposition",NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Syzygium hodgkinsoniae,not host plant species; 0 generation completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,adult,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,"adults fed, oviposition, infested leaves shed at instars 2 and 3. No nymphs in pit galls in the field.",NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Syzygium francisii,not host plant species; <1 generation completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,juvenile,"oviposition, instars 2 and 3",NA,NA,ecological_dependency,species,NA,NA,specialist,NA,"adults fed, oviposition, infested leaves shed at instars 2 and 3. No nymphs in pit galls in the field.",NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Syzygium francisii,not host plant species; <1 generation completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Engadine, NSW",NA,NA,13/04/2003,NA,NA,NA,Syzygium australe,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,adult,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Syzygium australe,host plant species; 2 generations completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900721",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,juvenile,eggs and nymphs,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,"Ryde School of Agriculture and Royal Botanic Gardens Sydney, NSW",NA,NA,NA,NA,NA,NA,Syzygium australe,host plant species; 2 generations completed in cages,NA,NA,NA,NA,NA,Young_2003,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900722",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Sublime Pt., Earlwood, NSW",-34,150,25/09/2003,NA,NA,NA,Syzygium ?paniculatum,host plant species,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,Australia,NA,NA,NA,NA,NA,NA,Syzygium,host plant,NA,NA,NA,NA,NA,Martoni_2021,doi: 10.1371/journal.pone.0257031,"Martoni, F., & Blacket, M. J. (2021). Description of an Australian endemic species of Trioza (Hemiptera: Triozidae) pest of the endemic tea tree, Melaleuca alternifolia (Myrtaceae). PLOS ONE, 16(9), e0257031. doi: 10.1371/journal.pone.0257031",article,NA
Trioza eugeniae,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Syzygium,host plant,NA,NA,NA,NA,NA,Martoni_2021,doi: 10.1371/journal.pone.0257031,"Martoni, F., & Blacket, M. J. (2021). Description of an Australian endemic species of Trioza (Hemiptera: Triozidae) pest of the endemic tea tree, Melaleuca alternifolia (Myrtaceae). PLOS ONE, 16(9), e0257031. doi: 10.1371/journal.pone.0257031",article,NA
Trioza adventicia,NA,Psyl'list,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,NA,NA,NA,NA,"Roseville, NSW",NA,NA,14/06/1960,NA,NA,NA,Syzygium,host plant genus; feeding on lily pilly,NA,NA,NA,NA,NA,Taylor_2020,doi:10.1017/S0007485319000695,"Taylor, G. S., & Martoni, F. (2020). Case of mistaken identity: resolving the taxonomy between Trioza eugeniae Froggatt and T. adventicia Tuthill (Psylloidea: Triozidae). Bulletin of Entomological Research, 110(3), 340–351. Cambridge Core. doi: 10.1017/S0007485319000695",article,NA
Syncarpiolyma maculata,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva free-living, sap-sucker",NA,NA,NA,"NSW, QLD",NA,NA,NA,NA,NA,NA,Syncarpia glomulifera,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Froggatt, W. W. (1901). Australian Psyllidae. Part II. Proceedings of the Linnean Society of New South Wales, 26, 242-298; Taylor, K. L. (1997). Revision of Syncarpiolyma Froggatt (Hemiptera: Psyllidae) and description of a new species. Journal of the Australian Entomological Society, 36, 109-111."
